Education (At least bachelors degree) for Virginia by County
Population Ages 25+
"All Races (includes Hispanic/Latino), Both Sexes, 2015-2019"
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US (of 3145 counties)
"United States",00000,32.1,70920162,"N/A"
"Virginia",51000,38.8,2240360,"7 of 51"
"Greensville County",51081,9.2,805,"3,097"
"Dickenson County",51051,10.7,1165,"3,013"
"Charlotte County",51037,10.9,918,"3,003"
"Lee County",51105,11.2,2015,"2,983"
"Lunenburg County",51111,11.3,1016,"2,975"
"Buchanan County",51027,11.8,1924,"2,919"
"Russell County",51167,12.2,2438,"2,872"
"Buckingham County",51029,12.5,1582,"2,837"
"Sussex County",51183,12.7,1069,"2,796"
"Scott County",51169,13.3,2188,"2,712"
"Brunswick County",51025,13.6,1670,"2,671"
"Page County",51139,13.7,2384,"2,652"
"Grayson County",51077,13.7,1649,"2,646"
"Emporia City",51595,13.8,486,"2,628"
"Henry County",51089,13.9,5268,"2,608"
"Bland County",51021,14.2,701,"2,570"
"Pittsylvania County",51143,14.5,6574,"2,507"
"Smyth County",51173,14.6,3292,"2,489"
"Charles City County",51036,14.7,803,"2,471"
"Galax City",51640,14.8,702,"2,456"
"Nottoway County",51135,14.8,1627,"2,455"
"Hopewell City",51670,14.8,2199,"2,450"
"Cumberland County",51049,14.9,1057,"2,432"
"Tazewell County",51185,14.9,4550,"2,422"
"Wise County",51195,15.0,4124,"2,415"
"Carroll County",51035,15.0,3340,"2,409"
"Alleghany County and Clifton Forge City",51005,15.0,1688,"2,406"
"Patrick County",51141,15.2,2063,"2,375"
"Halifax County with South Boston City",51083,15.4,3835,"2,345"
"Covington City",51580,15.6,621,"2,320"
"Bath County",51017,15.9,500,"2,258"
"Buena Vista City",51530,15.9,657,"2,242"
"Amelia County",51007,17.1,1591,"2,021"
"Essex County",51057,17.4,1370,"1,965"
"Danville City",51590,17.6,5019,"1,933"
"Richmond County",51159,17.7,1232,"1,914"
"Giles County",51071,18.1,2193,"1,842"
"Southampton County",51175,18.4,2432,"1,794"
"Dinwiddie County",51053,18.6,3823,"1,744"
"Wythe County",51197,19.0,4027,"1,673"
"Franklin City",51620,19.1,1099,"1,661"
"Amherst County",51009,19.1,4339,"1,653"
"Westmoreland County",51193,19.2,2537,"1,640"
"Accomack County",51001,19.5,4576,"1,595"
"Petersburg City",51730,19.8,4303,"1,538"
"Caroline County",51033,19.9,4053,"1,529"
"Pulaski County",51155,20.0,5126,"1,501"
"Mecklenburg County",51117,20.2,4583,"1,484"
"Shenandoah County",51171,20.5,6353,"1,436"
"Surry County",51181,20.6,1021,"1,422"
"Appomattox County",51011,20.9,2319,"1,392"
"Martinsville City",51690,21.0,1844,"1,369"
"King William County",51101,21.0,2417,"1,364"
"Middlesex County",51119,21.5,1800,"1,289"
"Warren County",51187,21.7,5938,"1,263"
"Franklin County",51067,21.9,8920,"1,239"
"Portsmouth City",51740,21.9,13925,"1,233"
"Floyd County",51063,22.1,2567,"1,214"
"Campbell County",51031,22.5,8945,"1,164"
"Highland County",51091,22.5,422,"1,157"
"Northampton County",51131,22.6,1970,"1,145"
"Augusta County",51015,22.7,12526,"1,138"
"Norton City",51720,22.8,625,"1,132"
"Washington County",51191,22.8,9095,"1,116"
"Gloucester County",51073,23.3,6300,"1,050"
"Madison County",51113,23.4,2240,"1,039"
"Roanoke City",51770,23.4,16387,"1,037"
"Prince George County",51149,23.6,6203,"1,023"
"King and Queen County",51097,23.6,1234,"1,012"
"Craig County",51045,23.6,892,"1,011"
