Income (Median family income) for Virginia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2015-2019"
Sorted by Value

County, FIPS,Value (Dollars),Rank within US (of 3145 counties)
"United States",00000,77263.000000000,"N/A"
"Virginia",51000,90141.000000000,"9 of 51"
"Emporia City",51595,36771.000000000,"3,112"
"Buena Vista City",51530,37574.000000000,"3,107"
"Buchanan County",51027,40874.000000000,"3,076"
"Galax City",51640,40972.000000000,"3,075"
"Dickenson County",51051,42622.000000000,"3,044"
"Martinsville City",51690,44714.000000000,"2,983"
"Norton City",51720,44891.000000000,"2,977"
"Hopewell City",51670,46871.000000000,"2,916"
"Petersburg City",51730,46925.000000000,"2,912"
"Lee County",51105,47048.000000000,"2,906"
"Franklin City",51620,47284.000000000,"2,898"
"Danville City",51590,47562.000000000,"2,889"
"Russell County",51167,48634.000000000,"2,852"
"Grayson County",51077,49787.000000000,"2,778"
"Henry County",51089,49979.000000000,"2,765"
"Wise County",51195,50302.000000000,"2,749"
"Brunswick County",51025,50907.000000000,"2,698"
"Scott County",51169,52575.000000000,"2,591"
"Smyth County",51173,52587.000000000,"2,589"
"Lunenburg County",51111,53079.000000000,"2,553"
"Tazewell County",51185,53458.000000000,"2,521"
"Bristol City",51520,53902.000000000,"2,492"
"Roanoke City",51770,54633.000000000,"2,439"
"Bland County",51021,54977.000000000,"2,415"
"Highland County",51091,55391.000000000,"2,382"
"Carroll County",51035,56360.000000000,"2,313"
"Nottoway County",51135,56807.000000000,"2,282"
"Pittsylvania County",51143,57266.000000000,"2,230"
"Charlotte County",51037,57292.000000000,"2,227"
"Greensville County",51081,57303.000000000,"2,225"
"Covington City",51580,57614.000000000,"2,195"
"Accomack County",51001,57711.000000000,"2,188"
"Richmond County",51159,57904.000000000,"2,173"
"Mecklenburg County",51117,57971.000000000,"2,167"
"Essex County",51057,58475.000000000,"2,121"
"Alleghany County and Clifton Forge City",51005,58933.000000000,"2,090"
"Buckingham County",51029,59040.000000000,"2,079"
"Halifax County with South Boston City",51083,59179.000000000,"2,069"
"Cumberland County",51049,59620.000000000,"2,036"
"Northampton County",51131,59717.000000000,"2,023"
"Patrick County",51141,59897.000000000,"2,008"
"Sussex County",51183,61100.000000000,"1,892"
"Waynesboro City",51820,61311.000000000,"1,859"
"Portsmouth City",51740,61368.000000000,"1,856"
"Giles County",51071,61638.000000000,"1,837"
"Lynchburg City",51680,61870.000000000,"1,818"
"Wythe County",51197,61991.000000000,"1,805"
"Norfolk City",51710,62016.000000000,"1,798"
"Floyd County",51063,62428.000000000,"1,755"
"Prince Edward County",51147,62733.000000000,"1,722"
"Page County",51139,62967.000000000,"1,696"
