Poverty (Families below poverty) for Virginia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2015-2019"
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US (of 3145 counties)
"United States",00000,9.5,7541196,"N/A"
"Virginia",51000,7.1,148809,"13 of 51"
"Norton City",51720,30.0,290,"3,121"
"Buena Vista City",51530,23.4,410,"3,039"
"Buchanan County",51027,23.0,1325,"3,032"
"Dickenson County",51051,22.4,856,"3,022"
"Emporia City",51595,22.2,296,"3,016"
"Hopewell City",51670,20.3,1170,"2,967"
"Galax City",51640,20.3,344,"2,965"
"Petersburg City",51730,20.1,1336,"2,959"
"Martinsville City",51690,19.5,639,"2,932"
"Lee County",51105,19.5,1138,"2,929"
"Danville City",51590,18.5,1925,"2,876"
"Russell County",51167,16.6,1170,"2,721"
"Alleghany County and Clifton Forge City",51005,16.6,702,"2,719"
"Roanoke City",51770,16.4,3693,"2,696"
"Wise County",51195,16.3,1615,"2,684"
"Richmond City",51760,16.1,6441,"2,665"
"Radford City",51750,15.9,376,"2,651"
"Grayson County",51077,15.4,637,"2,596"
"Waynesboro City",51820,15.2,771,"2,579"
"Brunswick County",51025,14.9,560,"2,553"
"Mecklenburg County",51117,14.8,1144,"2,543"
"Charlotte County",51037,14.7,432,"2,527"
"Bristol City",51520,14.5,615,"2,506"
"Norfolk City",51710,14.0,7076,"2,446"
"Henry County",51089,14.0,1812,"2,443"
"Smyth County",51173,13.6,1145,"2,395"
"Cumberland County",51049,13.4,346,"2,354"
"Nottoway County",51135,13.2,485,"2,331"
"Covington City",51580,12.9,188,"2,276"
"Portsmouth City",51740,12.8,2722,"2,271"
"Northumberland County",51133,12.5,463,"2,205"
"Pittsylvania County",51143,12.4,2296,"2,194"
"Tazewell County",51185,12.3,1369,"2,169"
"Accomack County",51001,11.9,1058,"2,070"
"Lynchburg City",51680,11.9,1921,"2,069"
"Newport News City",51700,11.8,4972,"2,045"
"Surry County",51181,11.8,225,"2,043"
"Greensville County",51081,11.5,273,"1,990"
"Appomattox County",51011,11.3,513,"1,955"
"Harrisonburg City",51660,11.2,1013,"1,936"
"Lexington City",51678,11.2,97,"1,915"
"Buckingham County",51029,11.1,439,"1,903"
"Wythe County",51197,11.1,885,"1,901"
"Fredericksburg City",51630,11.0,620,"1,876"
"Westmoreland County",51193,10.9,520,"1,857"
"Franklin County",51067,10.8,1762,"1,822"
"Essex County",51057,10.8,321,"1,815"
"Hampton City",51650,10.6,3422,"1,775"
"Winchester City",51840,10.6,636,"1,770"
"Prince Edward County",51147,10.4,454,"1,731"
"Charlottesville City",51540,10.4,879,"1,722"
"Lunenburg County",51111,10.1,307,"1,657"
"Nelson County",51125,10.1,457,"1,654"
"Northampton County",51131,10.1,314,"1,647"
"Scott County",51169,10.0,552,"1,637"
"Richmond County",51159,10.0,213,"1,634"
"Carroll County",51035,10.0,815,"1,624"
"Colonial Heights City",51570,9.8,437,"1,588"
"Pulaski County",51155,9.8,932,"1,580"
"Washington County",51191,9.8,1453,"1,576"
"Halifax County with South Boston City",51083,9.8,901,"1,570"
"Page County",51139,9.7,619,"1,550"
"Charles City County",51036,9.7,182,"1,542"
"Sussex County",51183,9.4,236,"1,470"
"Patrick County",51141,9.3,467,"1,434"
"Suffolk City",51800,8.5,2105,"1,224"
"Campbell County",51031,8.2,1256,"1,150"
"Franklin City",51620,8.2,175,"1,127"
"Dinwiddie County",51053,8.1,575,"1,123"
"Mathews County",51115,8.0,195,"1,073"
"Louisa County",51109,7.9,765,"1,059"
"Amelia County",51007,7.8,269,"1,030"
"Amherst County",51009,7.6,632,"984"
"Rockbridge County",51163,7.6,473,"983"
"Montgomery County",51121,7.4,1446,"906"
"Isle of Wight County",51093,7.3,749,"876"
"Shenandoah County",51171,7.3,826,"874"
"Highland County",51091,7.2,51,"838"
"Alexandria City",51510,7.0,2429,"804"
"Lancaster County",51103,6.9,221,"776"
"Southampton County",51175,6.7,317,"716"
"Salem City",51775,6.6,407,"690"
"Williamsburg City",51830,6.6,145,"687"
"Chesapeake City",51550,6.6,4157,"679"
"Manassas City",51683,6.5,611,"652"
"Warren County",51187,6.4,642,"646"
"Rockingham County",51165,6.3,1385,"617"
"New Kent County",51127,6.3,383,"613"
"Manassas Park City",51685,6.2,204,"601"
"Staunton City",51790,6.2,375,"594"
"Henrico County",51087,6.2,4997,"584"
"Middlesex County",51119,6.2,173,"581"
"Gloucester County",51073,6.1,642,"575"
"Augusta County",51015,6.0,1249,"530"
