county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Accomack County,51001,Virginia,32316,137,"Accomack, VA - Northampton, VA",44026,6.5,0.0,58.79,Low,2022-02-24
Charlottesville City,51540,Virginia,47266,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,306.77,High,2022-02-24
Buena Vista City,51530,Virginia,6478,97,"Augusta, VA - Staunton City, VA",161807,12.2,21.6,602.04,High,2022-02-24
Bristol City,51520,Virginia,16762,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,15.6,35.2,495.17,High,2022-02-24
Alexandria City,51510,Virginia,159428,69,"Fairfax, VA - Arlington, VA",1995976,5.2,5.3,117.29,Low,2022-02-24
York County,51199,Virginia,68280,5,"Newport News City, VA - Hampton City, VA",531945,5.4,6.0,101.05,Low,2022-02-24
Wythe County,51197,Virginia,28684,70,"Montgomery, VA - Pulaski, VA",196215,14.3,24.0,467.16,High,2022-02-24
Wise County,51195,Virginia,37383,55,"Wise, VA - Lee, VA",79105,0.0,30.3,714.23,High,2022-02-24
Westmoreland County,51193,Virginia,18015,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,127.67,Medium,2022-02-24
Washington County,51191,Virginia,53740,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,15.6,35.2,424.26,High,2022-02-24
Warren County,51187,Virginia,40164,25,"Berkeley, WV - Frederick, VA",433166,13.1,15.7,181.75,Medium,2022-02-24
Tazewell County,51185,Virginia,40595,39,"Mercer, WV - Tazewell, VA",144261,16.8,29.1,544.40,High,2022-02-24
Sussex County,51183,Virginia,11159,77,"Petersburg City, VA - Prince George, VA",138353,10.5,21.0,197.15,High,2022-02-24
Surry County,51181,Virginia,6422,77,"Petersburg City, VA - Prince George, VA",138353,10.5,21.0,124.57,High,2022-02-24
Stafford County,51179,Virginia,152882,135,"Stafford, VA - Spotsylvania, VA",375694,10.3,8.5,177.26,Medium,2022-02-24
Spotsylvania County,51177,Virginia,136215,135,"Stafford, VA - Spotsylvania, VA",375694,10.3,8.5,151.23,Medium,2022-02-24
Southampton County,51175,Virginia,17631,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,5.0,8.5,62.39,Low,2022-02-24
Smyth County,51173,Virginia,30104,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,15.6,35.2,760.70,High,2022-02-24
Shenandoah County,51171,Virginia,43616,25,"Berkeley, WV - Frederick, VA",433166,13.1,15.7,277.42,High,2022-02-24
Scott County,51169,Virginia,21566,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,15.6,35.2,561.07,High,2022-02-24
Russell County,51167,Virginia,26586,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,15.6,35.2,552.92,High,2022-02-24
Rockingham County,51165,Virginia,81948,63,"Rockingham, VA - Harrisonburg City, VA",165835,7.5,15.1,146.43,Medium,2022-02-24
Rockbridge County,51163,Virginia,22573,97,"Augusta, VA - Staunton City, VA",161807,12.2,21.6,287.95,High,2022-02-24
Roanoke County,51161,Virginia,94186,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,45.65,Medium,2022-02-24
Richmond County,51159,Virginia,9023,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,132.99,Medium,2022-02-24
Rappahannock County,51157,Virginia,7370,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,54.27,Medium,2022-02-24
Pulaski County,51155,Virginia,34027,70,"Montgomery, VA - Pulaski, VA",196215,14.3,24.0,358.54,High,2022-02-24
Prince William County,51153,Virginia,470335,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.3,4.3,23.17,Low,2022-02-24
Prince George County,51149,Virginia,38353,77,"Petersburg City, VA - Prince George, VA",138353,10.5,21.0,563.19,High,2022-02-24
Prince Edward County,51147,Virginia,22802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,245.59,High,2022-02-24
Powhatan County,51145,Virginia,29652,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,155.13,Medium,2022-02-24
Pittsylvania County,51143,Virginia,60354,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,8.8,8.1,288.30,Medium,2022-02-24
Patrick County,51141,Virginia,17608,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,,,454.34,N/A,2022-02-24
Page County,51139,Virginia,23902,63,"Rockingham, VA - Harrisonburg City, VA",165835,7.5,15.1,205.00,High,2022-02-24
Orange County,51137,Virginia,37051,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,183.53,Medium,2022-02-24
Nottoway County,51135,Virginia,15232,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,413.60,High,2022-02-24
Northumberland County,51133,Virginia,12095,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,99.21,Medium,2022-02-24
Northampton County,51131,Virginia,11710,137,"Accomack, VA - Northampton, VA",44026,6.5,0.0,34.16,Low,2022-02-24
New Kent County,51127,Virginia,23091,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,129.92,Medium,2022-02-24
Nelson County,51125,Virginia,14930,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,241.13,High,2022-02-24
Montgomery County,51121,Virginia,98535,70,"Montgomery, VA - Pulaski, VA",196215,14.3,24.0,209.06,High,2022-02-24
Middlesex County,51119,Virginia,10582,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,170.10,Medium,2022-02-24
Mecklenburg County,51117,Virginia,30587,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,14.0,36.5,235.39,High,2022-02-24
Mathews County,51115,Virginia,8834,5,"Newport News City, VA - Hampton City, VA",531945,5.4,6.0,56.60,Low,2022-02-24
Madison County,51113,Virginia,13261,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,158.36,Medium,2022-02-24
Lunenburg County,51111,Virginia,12196,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,14.0,36.5,114.79,High,2022-02-24
Louisa County,51109,Virginia,37591,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,191.54,Medium,2022-02-24
Loudoun County,51107,Virginia,413538,69,"Fairfax, VA - Arlington, VA",1995976,5.2,5.3,109.78,Low,2022-02-24
Lee County,51105,Virginia,23423,55,"Wise, VA - Lee, VA",79105,0.0,30.3,503.78,High,2022-02-24
Lancaster County,51103,Virginia,10603,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,169.76,Medium,2022-02-24
King William County,51101,Virginia,17148,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,227.43,High,2022-02-24
King George County,51099,Virginia,26836,135,"Stafford, VA - Spotsylvania, VA",375694,10.3,8.5,178.86,Medium,2022-02-24
King and Queen County,51097,Virginia,7025,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,113.88,Medium,2022-02-24
James City County,51095,Virginia,76523,5,"Newport News City, VA - Hampton City, VA",531945,5.4,6.0,222.16,Medium,2022-02-24
Isle of Wight County,51093,Virginia,37109,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,5.0,8.5,115.87,Low,2022-02-24
Highland County,51091,Virginia,2190,97,"Augusta, VA - Staunton City, VA",161807,12.2,21.6,319.63,High,2022-02-24
Henry County,51089,Virginia,50557,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,,,458.89,N/A,2022-02-24
Henrico County,51087,Virginia,330818,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,176.83,Medium,2022-02-24
Hanover County,51085,Virginia,107766,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,172.60,Medium,2022-02-24
Halifax County,51083,Virginia,33911,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,14.0,36.5,230.01,High,2022-02-24
Greensville County,51081,Virginia,11336,130,"Brunswick, VA - Greensville, VA",32913,2.5,0.0,229.36,Medium,2022-02-24
Greene County,51079,Virginia,19819,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,171.55,Medium,2022-02-24
Grayson County,51077,Virginia,15550,73,"Carroll, VA - Grayson, VA",62825,9.2,47.8,681.67,High,2022-02-24
Goochland County,51075,Virginia,23753,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,189.45,Medium,2022-02-24
Gloucester County,51073,Virginia,37348,5,"Newport News City, VA - Hampton City, VA",531945,5.4,6.0,117.81,Low,2022-02-24
Giles County,51071,Virginia,16720,70,"Montgomery, VA - Pulaski, VA",196215,14.3,24.0,538.28,High,2022-02-24
Colonial Heights City,51570,Virginia,17370,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,201.50,High,2022-02-24
Frederick County,51069,Virginia,89313,25,"Berkeley, WV - Frederick, VA",433166,13.1,15.7,216.09,High,2022-02-24
Franklin County,51067,Virginia,56042,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,306.91,High,2022-02-24
Fluvanna County,51065,Virginia,27270,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,319.03,High,2022-02-24
Floyd County,51063,Virginia,15749,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,368.28,High,2022-02-24
Fauquier County,51061,Virginia,71222,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.3,4.3,103.90,Low,2022-02-24
Fairfax County,51059,Virginia,1147532,69,"Fairfax, VA - Arlington, VA",1995976,5.2,5.3,84.18,Low,2022-02-24
Essex County,51057,Virginia,10953,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,164.34,Medium,2022-02-24
Dinwiddie County,51053,Virginia,28544,77,"Petersburg City, VA - Prince George, VA",138353,10.5,21.0,157.65,High,2022-02-24
Dickenson County,51051,Virginia,14318,55,"Wise, VA - Lee, VA",79105,0.0,30.3,600.64,High,2022-02-24
Cumberland County,51049,Virginia,9932,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,100.68,Medium,2022-02-24
Culpeper County,51047,Virginia,52605,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,334.57,High,2022-02-24
Craig County,51045,Virginia,5131,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,292.34,High,2022-02-24
Clarke County,51043,Virginia,14619,25,"Berkeley, WV - Frederick, VA",433166,13.1,15.7,102.61,Medium,2022-02-24
Chesterfield County,51041,Virginia,352802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,145.41,Medium,2022-02-24
Charlotte County,51037,Virginia,11880,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,361.95,High,2022-02-24
Charles City County,51036,Virginia,6963,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,71.81,Medium,2022-02-24
Carroll County,51035,Virginia,29791,73,"Carroll, VA - Grayson, VA",62825,9.2,47.8,349.10,High,2022-02-24
Caroline County,51033,Virginia,30725,135,"Stafford, VA - Spotsylvania, VA",375694,10.3,8.5,374.29,High,2022-02-24
Campbell County,51031,Virginia,54885,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,466.43,High,2022-02-24
Buckingham County,51029,Virginia,17148,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,122.46,Medium,2022-02-24
Buchanan County,51027,Virginia,21004,39,"Mercer, WV - Tazewell, VA",144261,16.8,29.1,766.52,High,2022-02-24
Brunswick County,51025,Virginia,16231,130,"Brunswick, VA - Greensville, VA",32913,2.5,0.0,135.54,Low,2022-02-24
Botetourt County,51023,Virginia,33419,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,1017.39,High,2022-02-24
Bland County,51021,Virginia,6280,39,"Mercer, WV - Tazewell, VA",144261,16.8,29.1,350.32,High,2022-02-24
Bedford County,51019,Virginia,78997,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,370.90,High,2022-02-24
Bath County,51017,Virginia,4147,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,12.8,26.2,409.93,High,2022-02-24
Augusta County,51015,Virginia,75558,97,"Augusta, VA - Staunton City, VA",161807,12.2,21.6,288.52,High,2022-02-24
Arlington County,51013,Virginia,236842,69,"Fairfax, VA - Arlington, VA",1995976,5.2,5.3,176.91,Low,2022-02-24
Appomattox County,51011,Virginia,15911,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,301.68,High,2022-02-24
Amherst County,51009,Virginia,31605,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,468.28,High,2022-02-24
Amelia County,51007,Virginia,13145,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,182.58,Medium,2022-02-24
Alleghany County,51005,Virginia,14860,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,12.8,26.2,201.88,High,2022-02-24
Albemarle County,51003,Virginia,109330,99,"Albemarle, VA - Charlottesville City, VA",383641,8.6,19.5,347.57,High,2022-02-24
Covington City,51580,Virginia,5538,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,12.8,26.2,306.97,High,2022-02-24
Danville City,51590,Virginia,40044,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,8.8,8.1,172.31,Low,2022-02-24
Emporia City,51595,Virginia,5346,130,"Brunswick, VA - Greensville, VA",32913,2.5,0.0,467.64,Medium,2022-02-24
Fairfax City,51600,Virginia,24019,69,"Fairfax, VA - Arlington, VA",1995976,5.2,5.3,16.65,Low,2022-02-24
Falls Church City,51610,Virginia,14617,69,"Fairfax, VA - Arlington, VA",1995976,5.2,5.3,239.45,Medium,2022-02-24
Franklin City,51620,Virginia,7967,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,5.0,8.5,150.62,Low,2022-02-24
Fredericksburg City,51630,Virginia,29036,135,"Stafford, VA - Spotsylvania, VA",375694,10.3,8.5,106.76,Medium,2022-02-24
Galax City,51640,Virginia,6347,73,"Carroll, VA - Grayson, VA",62825,9.2,47.8,582.95,High,2022-02-24
Hampton City,51650,Virginia,134510,5,"Newport News City, VA - Hampton City, VA",531945,5.4,6.0,186.60,Low,2022-02-24
Harrisonburg City,51660,Virginia,53016,63,"Rockingham, VA - Harrisonburg City, VA",165835,7.5,15.1,254.64,High,2022-02-24
Hopewell City,51670,Virginia,22529,77,"Petersburg City, VA - Prince George, VA",138353,10.5,21.0,204.18,High,2022-02-24
Lexington City,51678,Virginia,7446,97,"Augusta, VA - Staunton City, VA",161807,12.2,21.6,429.76,High,2022-02-24
Lynchburg City,51680,Virginia,82168,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,418.65,High,2022-02-24
Manassas City,51683,Virginia,41085,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.3,4.3,567.12,Medium,2022-02-24
Manassas Park City,51685,Virginia,17478,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.3,4.3,4354.05,Medium,2022-02-24
Martinsville City,51690,Virginia,12554,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,,,565.56,N/A,2022-02-24
Newport News City,51700,Virginia,179225,5,"Newport News City, VA - Hampton City, VA",531945,5.4,6.0,93.18,Low,2022-02-24
Norfolk City,51710,Virginia,242742,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,5.0,8.5,94.75,Low,2022-02-24
Norton City,51720,Virginia,3981,55,"Wise, VA - Lee, VA",79105,0.0,30.3,803.82,High,2022-02-24
Petersburg City,51730,Virginia,31346,77,"Petersburg City, VA - Prince George, VA",138353,10.5,21.0,315.83,High,2022-02-24
Poquoson City,51735,Virginia,12271,5,"Newport News City, VA - Hampton City, VA",531945,5.4,6.0,122.24,Low,2022-02-24
Portsmouth City,51740,Virginia,94398,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,5.0,8.5,110.17,Low,2022-02-24
Radford City,51750,Virginia,18249,70,"Montgomery, VA - Pulaski, VA",196215,14.3,24.0,394.54,High,2022-02-24
Richmond City,51760,Virginia,230436,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,6.8,12.7,141.47,Medium,2022-02-24
Roanoke City,51770,Virginia,99143,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,179.54,Medium,2022-02-24
Salem City,51775,Virginia,25301,14,"Roanoke City, VA - Roanoke, VA",592537,12.6,19.9,118.57,Medium,2022-02-24
Staunton City,51790,Virginia,24932,97,"Augusta, VA - Staunton City, VA",161807,12.2,21.6,256.70,High,2022-02-24
Suffolk City,51800,Virginia,92108,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,5.0,8.5,105.31,Low,2022-02-24
Virginia Beach City,51810,Virginia,449974,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,5.0,8.5,103.78,Low,2022-02-24
Waynesboro City,51820,Virginia,22630,97,"Augusta, VA - Staunton City, VA",161807,12.2,21.6,243.04,High,2022-02-24
Williamsburg City,51830,Virginia,14954,5,"Newport News City, VA - Hampton City, VA",531945,5.4,6.0,106.99,Low,2022-02-24
Winchester City,51840,Virginia,28078,25,"Berkeley, WV - Frederick, VA",433166,13.1,15.7,28.49,Medium,2022-02-24
Chesapeake City,51550,Virginia,244835,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,5.0,8.5,165.42,Low,2022-02-24
Charles City County,51036,Virginia,6963,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,71.81,Low,2022-03-03
Winchester City,51840,Virginia,28078,25,"Berkeley, WV - Frederick, VA",433166,8.9,9.2,71.23,Low,2022-03-03
Williamsburg City,51830,Virginia,14954,5,"Newport News City, VA - Hampton City, VA",531945,4.1,2.8,193.93,Low,2022-03-03
Waynesboro City,51820,Virginia,22630,97,"Augusta, VA - Staunton City, VA",161807,8.8,17.9,132.57,Medium,2022-03-03
